txn_id,applicant_id,txn_hour,is_new_device,txn_amount_inr,channel,iso_flagged_anomaly
BTXN5077,APP1321,7,0,999,P2M,0
BTXN5078,APP1167,12,0,199,P2P,0
BTXN5079,APP1258,11,0,999,P2M,0
BTXN5080,APP1372,19,0,1999,P2M,0
BTXN5081,APP1354,13,1,3999,P2P,1
BTXN5082,APP1224,7,0,199,P2P,0
BTXN5083,APP1151,22,0,199,P2M,0
BTXN5084,APP1018,10,0,499,P2P,0
BTXN5085,APP1145,19,0,499,P2P,0
BTXN5086,APP1240,8,0,199,P2M,0
BTXN5087,APP1371,10,0,199,P2P,0
BTXN5088,APP1380,21,0,3999,P2M,0
BTXN5089,APP1343,22,0,1999,P2P,0
BTXN5090,APP1236,16,0,199,P2M,0
BTXN5091,APP1034,22,0,499,P2M,0
BTXN5092,APP1189,21,0,499,P2P,0
BTXN5093,APP1000,7,0,199,P2M,0
BTXN5094,APP1152,9,0,999,P2P,0
BTXN5095,APP1125,12,0,999,P2M,0
BTXN5096,APP1344,7,0,1999,P2M,0
BTXN5097,APP1399,11,0,999,P2M,0
BTXN5098,APP1225,22,0,499,P2M,0
BTXN5099,APP1220,12,0,999,P2P,0
BTXN5100,APP1210,10,0,199,P2M,0
BTXN5101,APP1024,10,0,999,P2P,0
BTXN5102,APP1015,21,0,499,P2P,0
BTXN5103,APP1181,14,0,199,P2M,0
BTXN5104,APP1328,10,0,199,P2P,0
BTXN5105,APP1128,13,0,199,P2M,0
BTXN5106,APP1041,14,0,1999,P2P,0
BTXN5107,APP1335,10,0,199,P2M,0
BTXN5108,APP1235,15,0,199,P2P,0
BTXN5109,APP1359,7,1,499,P2P,0
BTXN5110,APP1033,14,0,999,P2M,0
BTXN5111,APP1344,16,0,199,P2M,0
BTXN5112,APP1380,9,0,3999,P2M,0
BTXN5113,APP1044,7,0,1999,P2P,0
BTXN5114,APP1133,11,0,499,P2P,0
BTXN5115,APP1020,19,0,999,P2M,0
BTXN5116,APP1121,6,0,199,P2M,0
BTXN5117,APP1069,12,0,499,P2P,0
BTXN5118,APP1351,6,0,999,P2M,0
BTXN5119,APP1360,6,0,199,P2M,0
BTXN5120,APP1047,6,0,199,P2M,0
BTXN5121,APP1038,9,0,999,P2M,0
BTXN5122,APP1286,9,0,199,P2M,0
BTXN5123,APP1009,16,0,3999,P2P,0
BTXN5124,APP1029,6,1,199,P2P,0
BTXN5125,APP1243,15,0,999,P2M,0
BTXN5126,APP1273,14,0,499,P2M,0
BTXN5127,APP1087,9,0,999,P2M,0
BTXN5128,APP1243,11,0,499,P2P,0
BTXN5129,APP1380,21,0,499,P2M,0
BTXN5130,APP1328,7,1,1999,P2M,0
BTXN5131,APP1014,15,0,499,P2P,0
BTXN5132,APP1003,22,0,499,P2P,0
BTXN5133,APP1190,18,0,499,P2M,0
BTXN5134,APP1167,18,0,999,P2M,0
BTXN5135,APP1008,22,0,499,P2P,0
BTXN5136,APP1108,10,0,3999,P2M,0
BTXN5137,APP1136,16,0,199,P2M,0
BTXN5138,APP1153,12,0,499,P2M,0
BTXN5139,APP1387,15,0,999,P2P,0
BTXN5140,APP1208,22,0,999,P2M,0
BTXN5141,APP1271,20,0,1999,P2P,0
BTXN5142,APP1142,7,0,3999,P2M,0
BTXN5143,APP1098,9,0,499,P2P,0
BTXN5144,APP1376,8,0,199,P2M,0
BTXN5145,APP1307,12,0,199,P2P,0
BTXN5146,APP1068,15,0,999,P2M,0
BTXN5147,APP1246,12,0,1999,P2M,0
BTXN5148,APP1260,13,0,199,P2P,0
BTXN5149,APP1275,11,0,199,P2M,0
BTXN5150,APP1078,6,0,199,P2P,0
BTXN5151,APP1145,9,0,1999,P2P,0
BTXN5152,APP1110,19,0,499,P2M,0
BTXN5153,APP1257,22,0,499,P2P,0
BTXN5154,APP1092,16,0,499,P2M,0
BTXN5155,APP1012,19,0,1999,P2M,0
BTXN5156,APP1259,14,0,999,P2M,0
BTXN5157,APP1108,20,1,999,P2P,1
BTXN5158,APP1329,17,0,199,P2M,0
BTXN5159,APP1188,15,0,499,P2M,0
BTXN5160,APP1094,11,0,999,P2P,0
BTXN5161,APP1104,11,0,3999,P2M,0
BTXN5162,APP1007,13,0,199,P2P,0
BTXN5163,APP1066,6,0,199,P2M,0
BTXN5164,APP1190,22,0,199,P2P,0
BTXN5165,APP1365,22,0,499,P2M,0
BTXN5166,APP1255,20,0,1999,P2M,0
BTXN5167,APP1008,12,0,199,P2P,0
BTXN5168,APP1116,8,0,499,P2P,0
BTXN5169,APP1266,16,0,499,P2M,0
BTXN5170,APP1098,14,0,199,P2M,0
BTXN5171,APP1297,15,0,499,P2P,0
BTXN5172,APP1396,7,0,199,P2P,0
BTXN5173,APP1163,6,0,499,P2M,0
BTXN5174,APP1375,21,0,999,P2M,0
BTXN5175,APP1140,22,0,499,P2M,0
BTXN5176,APP1267,11,0,199,P2M,0
BTXN5177,APP1036,19,0,3999,P2P,0
BTXN5178,APP1073,20,0,999,P2M,0
BTXN5179,APP1072,19,0,999,P2M,0
BTXN5180,APP1307,8,0,199,P2P,0
BTXN5181,APP1198,17,0,199,P2M,0
BTXN5182,APP1129,7,0,199,P2M,0
BTXN5183,APP1245,8,0,199,P2P,0
BTXN5184,APP1311,6,0,499,P2M,0
BTXN5185,APP1059,11,0,3999,P2P,0
BTXN5186,APP1278,10,0,499,P2M,0
BTXN5187,APP1102,6,0,199,P2M,0
BTXN5188,APP1295,6,0,499,P2P,0
BTXN5189,APP1319,21,0,199,P2P,0
BTXN5190,APP1340,17,0,999,P2M,0
BTXN5191,APP1150,13,0,499,P2M,0
BTXN5192,APP1156,21,0,999,P2M,0
BTXN5193,APP1205,6,0,3999,P2M,0
BTXN5194,APP1178,9,0,199,P2M,0
BTXN5195,APP1196,15,0,499,P2M,0
BTXN5196,APP1222,16,0,1999,P2M,0
BTXN5197,APP1088,22,0,999,P2P,0
BTXN5198,APP1286,12,0,499,P2M,0
BTXN5199,APP1275,17,0,3999,P2M,0
BTXN5200,APP1235,12,0,199,P2M,0
BTXN5201,APP1182,17,0,3999,P2M,0
BTXN5202,APP1208,20,0,199,P2M,0
BTXN5203,APP1129,7,0,499,P2M,0
BTXN5204,APP1152,19,0,1999,P2P,0
BTXN5205,APP1012,18,0,199,P2P,0
BTXN5206,APP1121,9,0,499,P2M,0
BTXN5207,APP1358,19,0,499,P2P,0
BTXN5208,APP1219,19,0,3999,P2P,0
BTXN5209,APP1105,21,0,1999,P2P,0
BTXN5210,APP1374,12,0,999,P2M,0
BTXN5211,APP1069,7,0,999,P2M,0
BTXN5212,APP1194,15,0,1999,P2M,0
BTXN5213,APP1185,22,0,499,P2M,0
BTXN5214,APP1098,10,0,499,P2P,0
BTXN5215,APP1081,17,0,999,P2M,0
BTXN5216,APP1074,11,0,499,P2M,0
BTXN5217,APP1373,14,0,199,P2M,0
BTXN5218,APP1339,6,0,199,P2P,0
BTXN5219,APP1191,20,0,199,P2P,0
BTXN5220,APP1324,11,0,1999,P2P,0
BTXN5221,APP1213,11,0,499,P2M,0
BTXN5222,APP1314,18,0,999,P2M,0
BTXN5223,APP1381,6,0,499,P2M,0
BTXN5224,APP1366,18,0,199,P2M,0
BTXN5225,APP1317,12,1,499,P2M,0
BTXN5226,APP1143,20,0,999,P2M,0
BTXN5227,APP1383,17,0,999,P2P,0
BTXN5228,APP1215,6,0,3999,P2P,0
BTXN5229,APP1360,20,0,999,P2M,0
BTXN5230,APP1323,9,0,499,P2P,0
BTXN5231,APP1014,18,0,999,P2M,0
BTXN5232,APP1216,10,0,3999,P2M,0
BTXN5233,APP1034,7,1,999,P2M,0
BTXN5234,APP1182,6,0,199,P2M,0
BTXN5235,APP1269,21,0,499,P2M,0
BTXN5236,APP1357,11,0,999,P2M,0
BTXN5237,APP1099,21,0,999,P2P,0
BTXN5238,APP1006,19,0,199,P2P,0
BTXN5239,APP1029,8,0,1999,P2P,0
BTXN5240,APP1304,20,0,3999,P2M,0
BTXN5241,APP1143,8,0,199,P2P,0
BTXN5242,APP1110,7,0,1999,P2P,0
BTXN5243,APP1231,6,0,199,P2P,0
BTXN5244,APP1178,14,0,199,P2M,0
BTXN5245,APP1071,14,0,199,P2M,0
BTXN5246,APP1209,12,1,199,P2M,0
BTXN5247,APP1219,8,0,1999,P2M,0
BTXN5248,APP1079,16,0,199,P2M,0
BTXN5249,APP1082,12,0,199,P2M,0
BTXNA0,APP1089,2,1,24999,P2P,1
BTXNA1,APP1185,3,1,19999,P2P,0
BTXNA2,APP1317,1,1,19999,P2P,0
BTXNA3,APP1357,4,1,19999,P2P,1
BTXNA4,APP1173,4,1,14999,P2P,1
BTXNA5,APP1216,4,1,19999,P2P,1
BTXNA6,APP1394,4,1,14999,P2P,1
BTXNA7,APP1263,2,1,19999,P2P,1
BTXNA8,APP1096,2,1,14999,P2P,1
BTXNA9,APP1116,3,1,19999,P2P,0
BTXNA10,APP1198,2,1,24999,P2P,1
BTXNA11,APP1319,1,1,24999,P2P,1
BTXNA12,APP1020,1,1,14999,P2P,1
BTXNA13,APP1199,4,1,14999,P2P,1
BTXNA14,APP1370,1,1,19999,P2P,0
